time,events,wearable,soc,cvip,cpu,gpu,5v_sys,wlan,nvme_pwr1,nvme_pwr3,nvme_pwr2,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
19.202,,6396000,1050000,2826000,1431000,105000,7402000,234000,0,5000,11000,68000,68000,2442000,4813000,7255000,25000000,123.8,120.65,91.4,116.6,121.8866,119.6366,114.125,122.9,119.525
19.402,,6396000,1050000,2494000,1318000,105000,7402000,217000,0,5000,7000,68000,65000,2419000,9949000,12368000,25000000,123.8,120.65,91.4,116.6,121.8866,119.6366,114.125,122.9,119.525
19.602,,6396000,1073000,1387000,1250000,105000,7718000,217000,0,5000,7000,68000,68000,2430000,7136000,9566000,25000000,123.8,120.65,91.4,116.6,121.8866,119.6366,114.125,122.9,119.525
19.802,,6518000,1073000,2233000,1613000,105000,7718000,237000,0,5000,11000,68000,68000,2510000,7323000,9833000,25000000,123.8,120.65,91.4,116.6,121.8866,119.6366,114.125,122.9,119.525
20.002,,6518000,1154000,1710000,1451000,105000,7718000,237000,0,5000,11000,68000,68000,2511000,4521000,7032000,25000000,123.8,120.65,91.4,116.6,121.8866,119.6366,114.125,122.9,119.525
20.202,,6518000,1118000,2233000,1089000,105000,7698000,237000,0,5000,7000,68000,68000,2533000,7228000,9761000,25000000,123.8,120.65,91.22,116.6,121.8866,119.6366,114.125,122.9,119.525
20.403,,6497000,1050000,1995000,1068000,105000,7698000,233000,0,5000,11000,74000,65000,2499000,7519000,10018000,25000000,123.8,120.2,91.22,116.6,121.8866,119.6366,114.125,122.9,119.525
20.602,,6497000,1118000,2114000,1048000,105000,7698000,233000,0,5000,7000,68000,65000,2387000,5473000,7860000,25000000,123.8,120.65,91.22,116.6,121.8866,119.6366,114.125,122.9,119.525
20.803,,6497000,1118000,2161000,1199000,419000,7674000,233000,0,5000,7000,68000,65000,2418000,5244000,7662000,25000000,123.8,120.65,91.22,116.6,121.8866,119.6366,114.125,122.9,119.525
21.003,,6512000,1050000,1362000,1189000,105000,7674000,240000,0,5000,7000,68000,68000,2391000,9185000,11576000,25000000,123.8,120.65,91.22,116.6,121.8866,119.6366,114.125,122.9,119.525
21.202,,6512000,1140000,2280000,1189000,921000,7674000,240000,0,5000,7000,68000,65000,2374000,4522000,6896000,25000000,123.8,120.65,91.4,116.4866,121.8866,119.6366,114.125,122.9,119.525
21.403,,6512000,1050000,2209000,833000,825000,7645000,240000,0,5000,7000,68000,68000,2380000,5778000,8158000,25000000,123.8,120.2,91.4,116.4866,121.8866,119.6366,114.125,122.9,119.525
21.602,,6558000,1028000,2684000,772000,838000,7645000,222000,0,5000,4000,68000,68000,2396000,5979000,8375000,25000000,123.8,120.65,91.4,116.4866,121.8866,119.6366,114.125,122.9,119.525
21.802,,6558000,1073000,2375000,1089000,419000,7654000,222000,10000,3000,7000,68000,68000,2393000,5026000,7419000,25000000,123.8,120.65,91.4,116.4866,121.8866,119.6366,114.125,122.9,119.525
22.004,,6558000,1376000,1339000,1551000,105000,7654000,222000,10000,3000,11000,68000,68000,2425000,7504000,9929000,25000000,123.8,120.65,91.4,116.4866,121.8866,119.6366,114.125,122.9,119.525
22.203,,6527000,1073000,2803000,746000,838000,7654000,184000,10000,3000,11000,68000,65000,2416000,4842000,7258000,25000000,123.8,120.65,91.4,116.4866,121.8866,119.6366,114.0116,122.9,119.525
22.404,,6527000,1073000,1948000,1209000,398000,7685000,184000,20000,3000,11000,68000,68000,2426000,5348000,7774000,25000000,123.8,120.65,91.4,116.4866,121.8866,119.6366,114.0116,122.9,119.525
22.604,,6527000,1050000,1805000,921000,2240000,7685000,184000,10000,3000,4000,68000,68000,2450000,4919000,7369000,25000000,123.8,120.65,91.4,116.4866,121.8866,119.6366,114.0116,122.9,119.525
22.803,,6506000,1073000,1853000,731000,825000,7685000,239000,10000,78000,4000,72000,68000,2407000,5953000,8360000,25000000,123.8,120.65,91.4,116.4866,121.8866,119.6366,114.0116,122.9,119.525
23.002,,6506000,1287000,1411000,726000,3392000,7645000,239000,10000,81000,4000,72000,68000,2381000,4874000,7255000,25000000,123.8,120.65,91.4,116.4866,121.8866,119.6366,114.0116,122.9,119.525
23.202,,6506000,1376000,2138000,1551000,2303000,7645000,239000,0,35000,4000,68000,68000,2405000,10149000,12554000,25000000,123.8,120.65,91.4,116.4866,121.775,119.6366,114.0116,122.9,119.525
23.403,,6353000,1265000,2233000,1260000,3311000,7645000,224000,0,32000,4000,68000,68000,2414000,4928000,7342000,25000000,123.8,120.65,91.4,116.4866,121.775,119.6366,114.0116,122.9,119.525
23.607,,6353000,1398000,1449000,1819000,105000,7566000,224000,0,32000,4000,70000,65000,2427000,6003000,8430000,25000000,123.8,120.65,91.4,116.4866,121.775,119.6366,114.0116,122.9,119.525
23.802,,6481000,1553000,2375000,751000,838000,7566000,224000,0,5000,7000,68000,65000,2445000,5607000,8052000,25000000,123.8,120.65,91.4,116.4866,121.775,119.6366,114.0116,122.9,119.525
24.003,,6481000,1287000,1411000,927000,5261000,7566000,281000,0,5000,7000,68000,68000,2457000,5052000,7509000,25000000,123.8,120.65,91.4,116.4866,121.775,119.6366,114.0116,122.9,119.525
24.203,,6481000,1309000,2114000,987000,5017000,7705000,281000,0,5000,11000,68000,68000,2467000,10493000,12960000,25000000,123.8,120.65,91.4,116.4866,121.775,119.6366,114.125,122.9,119.4116
24.403,,6554000,1509000,1781000,1263000,796000,7705000,281000,0,5000,4000,68000,68000,2465000,4419000,6884000,25000000,123.8,120.65,91.4,116.4866,121.775,119.6366,114.125,122.9,119.4116
24.603,,6554000,1598000,1829000,1008000,754000,7705000,237000,0,5000,11000,68000,68000,2440000,5096000,7536000,25000000,123.8,120.65,91.4,116.4866,121.775,119.6366,114.125,122.9,119.4116
24.802,,6554000,1353000,1971000,1693000,105000,7681000,237000,0,5000,11000,68000,68000,2495000,4753000,7248000,25000000,123.8,120.65,91.4,116.4866,121.775,119.6366,114.125,122.9,119.4116
25.003,,6518000,1420000,1995000,1351000,880000,7681000,252000,0,5000,7000,74000,68000,2529000,4723000,7252000,25000000,123.8,120.65,91.4,116.4866,121.775,119.6366,114.125,122.9,119.4116
