Time (s),% Texture Fetch Stall,% Texture L2 Miss,% Time Shading Vertices,% Vertex Fetch Stall,Avg Preemption Delay,Fragment Instructions / Second,Fragments Shaded / Second,Textures / Fragment,Vertex Instructions / Second,Vertices Shaded / Second,app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
3.92,23.419965744018555,24.003278732299805,6.557668685913086,0.8051773905754089,0.6101056933403015,-1.0,1360709376.0,-1.0,-1.0,9725587.0,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2966.0,5388729272.0,1920.0,3.0,48.0,48.0,53.0,30.0,48.0,25.0,72.0,545.0,2.0,19.034650921821594,3196.0,1.0,48.0,2.187106132507324
4.0,23.419965744018555,24.003278732299805,6.557668685913086,0.8051773905754089,0.6101056933403015,-1.0,1360709376.0,-1.0,-1.0,9725587.0,0.4010275304317474,103.0,2.0,6313.0,1.0,22.742305755615234,2966.0,5388729272.0,1920.0,3.0,48.0,48.0,53.0,30.0,48.0,25.0,72.0,545.0,2.0,19.034650921821594,3196.0,1.0,48.0,2.187106132507324
4.02,22.23871421813965,23.46529197692871,6.972124576568604,0.6301978826522827,0.7765350341796875,-1.0,1238496768.0,-1.0,-1.0,9283613.0,0.4010275304317474,103.0,2.0,6313.0,1.0,22.742305755615234,2966.0,5388729272.0,1920.0,3.0,48.0,48.0,53.0,30.0,48.0,25.0,72.0,545.0,2.0,19.034650921821594,3196.0,1.0,48.0,2.187106132507324
4.04,22.23871421813965,23.46529197692871,6.972124576568604,0.6301978826522827,0.7765350341796875,-1.0,1238496768.0,-1.0,-1.0,9283613.0,1.7974886894226074,1103.0,491.0,12267.0,7.0,22.059022903442383,2966.0,5388729272.0,1920.0,3.0,48.0,48.0,52.0,24.0,60.0,25.0,72.0,545.0,2.0,18.88183504343033,3196.0,1.0,51.0,2.1665334701538086
4.12,22.664018630981445,23.950590133666992,6.667613983154297,0.7117107510566711,0.565880298614502,-1.0,1238556800.0,-1.0,-1.0,9037086.0,1.7974886894226074,1103.0,491.0,12267.0,7.0,22.059022903442383,2966.0,5388729272.0,1920.0,3.0,48.0,48.0,52.0,24.0,60.0,25.0,72.0,545.0,2.0,18.88183504343033,3196.0,1.0,51.0,2.1665334701538086
4.22,23.25059700012207,23.483991622924805,6.732862949371338,0.7470805048942566,0.6156123876571655,-1.0,1238926976.0,-1.0,-1.0,9154834.0,1.7974886894226074,1103.0,491.0,12267.0,7.0,22.059022903442383,2966.0,5388729272.0,1920.0,3.0,48.0,48.0,52.0,24.0,60.0,25.0,72.0,545.0,2.0,18.88183504343033,3196.0,1.0,51.0,2.1665334701538086
4.32,21.948314666748047,23.704519271850582,6.947839260101318,0.7042279243469238,0.6134630441665649,-1.0,1369524096.0,-1.0,-1.0,10321219.0,1.7974886894226074,1103.0,491.0,12267.0,7.0,22.059022903442383,2966.0,5388729272.0,1920.0,3.0,48.0,48.0,52.0,24.0,60.0,25.0,72.0,545.0,2.0,18.88183504343033,3196.0,1.0,51.0,2.1665334701538086
4.42,23.81399345397949,23.63875389099121,6.524827480316162,0.7527055144309998,0.6081462502479553,-1.0,1281283584.0,-1.0,-1.0,9067190.0,1.7974886894226074,1103.0,491.0,12267.0,7.0,22.059022903442383,2966.0,5388729272.0,1920.0,3.0,48.0,48.0,52.0,24.0,60.0,25.0,72.0,545.0,2.0,18.88183504343033,3196.0,1.0,51.0,2.1665334701538086
4.52,21.9848747253418,24.020734786987305,6.960589408874512,0.654866635799408,0.6621367335319519,-1.0,1237291392.0,-1.0,-1.0,9275969.0,1.7974886894226074,1103.0,491.0,12267.0,7.0,22.059022903442383,2966.0,5388729272.0,1920.0,3.0,48.0,48.0,52.0,24.0,60.0,25.0,72.0,545.0,2.0,18.88183504343033,3196.0,1.0,51.0,2.1665334701538086
4.62,23.389493942260746,23.23533058166504,6.65394926071167,0.7514197826385498,0.5717719793319702,-1.0,1239012992.0,-1.0,-1.0,9032907.0,1.7974886894226074,1103.0,491.0,12267.0,7.0,22.059022903442383,2966.0,5388729272.0,1920.0,3.0,48.0,48.0,52.0,24.0,60.0,25.0,72.0,545.0,2.0,18.88183504343033,3196.0,1.0,51.0,2.1665334701538086
