Time (s),% Texture Fetch Stall,% Texture L2 Miss,% Time Shading Vertices,% Vertex Fetch Stall,Avg Preemption Delay,Fragment Instructions / Second,Fragments Shaded / Second,Textures / Fragment,Vertex Instructions / Second,Vertices Shaded / Second,app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
25.72,7.432415008544922,8.054957389831543,1.2171156406402588,0.3226611018180847,46.079376220703125,203805671424.0,2059215232.0,-1.0,614634944.0,1133712.25,7.185734748840332,263.0,48.0,7855.0,1.0,28.747562408447266,3163.0,1382.0,3.0,60.0,60.0,60.0,28.0,31.0,29.0,72.0,456.0,3.0,74.51673150062561,0.7040100693702698,2736.0,5.0,70.0,2.40457534790039
25.78,7.432415008544922,8.054957389831543,1.2171156406402588,0.3226611018180847,46.079376220703125,203805671424.0,2059215232.0,-1.0,614634944.0,1133712.25,7.737630367279053,106.0,2.0,6330.0,1.0,28.747562408447266,3163.0,1382.0,3.0,60.0,60.0,60.0,28.0,31.0,29.0,72.0,456.0,3.0,74.51673150062561,0.7040100693702698,2736.0,5.0,70.0,2.40457534790039
25.82,7.325062274932861,8.027139663696289,1.1946109533309937,0.3158396482467651,46.70919799804688,200822554624.0,2042429568.0,-1.0,590880448.0,1094691.125,7.737630367279053,106.0,2.0,6330.0,1.0,28.747562408447266,3163.0,1382.0,3.0,60.0,60.0,60.0,28.0,31.0,29.0,72.0,456.0,3.0,74.51673150062561,0.7040100693702698,2736.0,5.0,70.0,2.40457534790039
25.87,7.325062274932861,8.027139663696289,1.1946109533309937,0.3158396482467651,46.70919799804688,200822554624.0,2042429568.0,-1.0,590880448.0,1094691.125,7.733051300048828,568.0,86.0,13105.0,2.0,50.88348007202149,3163.0,1382.0,3.0,56.0,62.0,60.0,20.0,31.0,31.0,72.0,456.0,2.0,74.01999831199646,0.7040100693702698,2736.0,5.0,70.0,2.1697347164154053
25.92,7.11393928527832,8.084562301635742,1.176667332649231,0.3158872723579407,49.964603424072266,204976570368.0,2093544064.0,-1.0,591449344.0,1097301.375,7.733051300048828,568.0,86.0,13105.0,2.0,50.88348007202149,3163.0,1382.0,3.0,56.0,62.0,60.0,20.0,31.0,31.0,72.0,456.0,2.0,74.01999831199646,0.7040100693702698,2736.0,5.0,70.0,2.1697347164154053
26.01,7.11393928527832,8.084562301635742,1.176667332649231,0.3158872723579407,49.964603424072266,204976570368.0,2093544064.0,-1.0,591449344.0,1097301.375,0.0090239336714148,387.0,41.0,11671.0,2.0,50.88348007202149,3163.0,1382.0,3.0,56.0,62.0,60.0,20.0,31.0,31.0,72.0,456.0,2.0,74.01999831199646,0.7040100693702698,2736.0,5.0,70.0,2.1697347164154053
26.02,7.475916862487793,7.987869262695312,1.192023754119873,0.3240265548229217,51.156349182128906,209962156032.0,2135160704.0,-1.0,617456256.0,1142935.75,0.0090239336714148,387.0,41.0,11671.0,2.0,50.88348007202149,3163.0,1382.0,3.0,56.0,62.0,60.0,20.0,31.0,31.0,72.0,456.0,2.0,74.01999831199646,0.7040100693702698,2736.0,5.0,70.0,2.1697347164154053
26.12,7.806244850158691,8.113500595092773,1.239320158958435,0.3373476564884186,44.97220230102539,208288694272.0,2087701888.0,-1.0,648271232.0,1186166.25,0.0090239336714148,387.0,41.0,11671.0,2.0,50.88348007202149,3163.0,1382.0,3.0,56.0,62.0,60.0,20.0,31.0,31.0,72.0,456.0,2.0,74.01999831199646,0.7040100693702698,2736.0,5.0,70.0,2.1697347164154053
26.22,7.383870601654053,8.017327308654785,1.1949760913848877,0.3110270202159881,44.92452621459961,199848411136.0,2029968256.0,-1.0,591068352.0,1093717.75,0.0090239336714148,387.0,41.0,11671.0,2.0,50.88348007202149,3163.0,1382.0,3.0,56.0,62.0,60.0,20.0,31.0,31.0,72.0,456.0,2.0,74.01999831199646,0.7040100693702698,2736.0,5.0,70.0,2.1697347164154053
26.32,7.152130603790283,8.064177513122559,1.1787110567092896,0.3280893266201019,42.43698501586914,203813683200.0,2078965120.0,-1.0,591496384.0,1097151.125,0.0090239336714148,387.0,41.0,11671.0,2.0,50.88348007202149,3163.0,1382.0,3.0,56.0,62.0,60.0,20.0,31.0,31.0,72.0,456.0,2.0,74.01999831199646,0.7040100693702698,2736.0,5.0,70.0,2.1697347164154053
