Time (s),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
10.48,0.3667761385440826,145.0,2.0,6661.0,1.0,25.682567596435547,3866.0,9956440558.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.49,0.3667761385440826,145.0,2.0,6661.0,1.0,25.682567596435547,3866.0,9982647107.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.5,0.3667761385440826,145.0,2.0,6661.0,1.0,25.682567596435547,3866.0,8891504897.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.51,0.3667761385440826,145.0,2.0,6661.0,1.0,25.682567596435547,3866.0,10006972183.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.52,0.3667761385440826,145.0,2.0,6661.0,1.0,25.682567596435547,3866.0,10029214119.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.54,0.3667761385440826,145.0,2.0,6661.0,1.0,25.682567596435547,3866.0,10051052242.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.55,0.3667761385440826,145.0,2.0,6661.0,1.0,25.682567596435547,3866.0,8940757760.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.56,0.3667761385440826,145.0,2.0,6661.0,1.0,25.682567596435547,3866.0,10080168257.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.57,0.3667761385440826,145.0,2.0,6661.0,1.0,25.682567596435547,3866.0,10106522946.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.58,0.3667761385440826,145.0,2.0,6661.0,1.0,25.682567596435547,3866.0,10133863921.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.59,0.3667761385440826,145.0,2.0,6661.0,1.0,25.682567596435547,3866.0,14026125919.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.6,0.3667761385440826,145.0,2.0,6661.0,1.0,25.682567596435547,3866.0,9528198620.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.61,0.3667761385440826,145.0,2.0,6661.0,1.0,25.682567596435547,3866.0,10101089499.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.62,0.3667761385440826,145.0,2.0,6661.0,1.0,25.682567596435547,3866.0,10121292553.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.63,0.3667761385440826,145.0,2.0,6661.0,1.0,25.682567596435547,3866.0,10143627454.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.64,0.3667761385440826,145.0,2.0,6661.0,1.0,25.682567596435547,3866.0,10167288530.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
